"Y","GlcK","Hxk","PpgK","GlcP","GlcP_1","GlcU","SS","PtsGa","PtsGb","PtsGc","PtsG_bif","GluT","GlcT_1","GlvB","GlvC","GlvA","GlvR"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","1","1","1","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
